dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,10,5,0.3333333333333333,28.561397552490234
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,10,5,0.3333333333333333,41.85619622122124
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,10,5,0.3333333333333333,0.6444181799888611
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,11,4,0.26666666666666666,22.80494499206543
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,11,4,0.26666666666666666,33.5291530099181
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,11,4,0.26666666666666666,0.695570707321167
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,11,4,0.26666666666666666,29.34139060974121
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,11,4,0.26666666666666666,43.15283154228918
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,11,4,0.26666666666666666,0.6220462918281555
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,12,3,0.2,23.823633193969727
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,12,3,0.2,34.71363036060187
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,12,3,0.2,0.6736817955970764
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,12,3,0.2,31.233013153076172
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,12,3,0.2,44.47827715494245
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,12,3,0.2,0.5984718799591064
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,13,2,0.13333333333333333,26.04557228088379
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,13,2,0.13333333333333333,37.08395510948772
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,13,2,0.13333333333333333,0.6275968551635742
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,13,2,0.13333333333333333,33.068050384521484
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,13,2,0.13333333333333333,46.10439495725977
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,13,2,0.13333333333333333,0.5685756206512451
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,14,1,0.06666666666666667,33.32962417602539
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,14,1,0.06666666666666667,44.555740250362945
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,14,1,0.06666666666666667,0.4624132513999939
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,14,1,0.06666666666666667,44.39449691772461
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,14,1,0.06666666666666667,57.61995597162389
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,14,1,0.06666666666666667,0.3261459469795227
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,0,15,1.0,21.24919891357422
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,0,15,1.0,31.21976173754724
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,0,15,1.0,0.7360628843307495
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,0,15,1.0,28.65915298461914
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,0,15,1.0,41.77895351766545
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,0,15,1.0,0.6457294225692749
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,1,14,0.9333333333333333,20.94647789001465
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,1,14,0.9333333333333333,30.54269372757941
