dataset,window_tag,hidden_tag,group_mode,method,random_trial,n_groups,n_points,retention_auc,retention_auc_20_80,retention_auc_20_80_raw,retention_at_20,retention_at_80,mae_auc,mae_auc_20_80,mae_auc_20_80_raw,mae_at_20,mae_at_80,rmse_auc,rmse_auc_20_80,rmse_auc_20_80_raw,rmse_at_20,rmse_at_80,partial_auc_lo,partial_auc_hi,mae_full,rmse_full,mae_empty,rmse_empty,mask_value,ranking_file,ablation_ranking_split
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,18,5,6,0.8654503795437427,0.9420198678520433,0.5652119207112261,0.9864030463382533,1.015981541986913,11.082603549957275,10.781399408976236,6.468839645385743,10.606807708740234,10.490453720092773,13.76265468597412,13.332160313924152,7.999296188354492,13.299564361572266,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,19,5,6,0.9475153224830848,1.112428474674012,0.6674570848044074,0.527557195815285,1.2730251809714894,10.759781742095948,10.1110569636027,6.066634178161621,12.411786079406738,9.4793119430542,13.767801666259764,13.019488334655762,7.811693000793458,16.204620361328125,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,20,5,6,0.6458157335797117,0.7036736462826709,0.4222041877696026,0.5585650868243737,0.6775503712767172,11.946588230133058,11.718990484873453,7.031394290924073,12.289809226989746,11.821752548217773,15.0355749130249,14.774723370869951,8.864834022521972,15.776654243469238,14.64034366607666,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,21,5,6,0.7386297975112133,0.7810186995589221,0.46861121973535336,0.5585650868243737,1.1416206909342248,11.581482219696044,11.414735476175942,6.848841285705566,12.289809226989746,9.996222496032715,14.561052894592283,14.379288355509438,8.627573013305664,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,22,5,6,0.6229032726511041,0.6465997352774016,0.387959841166441,0.33345277285971925,1.015981541986913,12.036719799041748,11.943504174550375,7.166102504730226,13.175341606140137,10.490453720092773,15.17426414489746,15.082048416137694,9.049229049682618,16.916330337524414,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,23,5,6,0.8130660457750771,0.8883463468273328,0.5330078080963998,0.527557195815285,1.2730251809714894,11.288669681549072,10.992536862691244,6.595522117614747,12.411786079406738,9.4793119430542,14.516519546508789,14.267351468404133,8.56041088104248,16.204620361328125,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,24,5,6,0.7891567900764664,0.8652303538343441,0.5191382123006065,0.5585650868243737,1.1416206909342248,11.3827223777771,11.083469072977701,6.650081443786622,12.289809226989746,9.996222496032715,14.241567802429199,13.846813201904297,8.30808792114258,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,25,5,6,0.6417725035825796,0.6682856056056735,0.40097136336340417,0.527557195815285,0.8804542063764706,11.962493228912352,11.858197689056395,7.114918613433837,12.411786079406738,11.023582458496094,14.96818790435791,14.791532039642332,8.874919223785401,16.204620361328125,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,26,5,6,0.9531263296031514,1.0672065931265058,0.6403239558759035,0.9864030463382533,1.1416206909342248,10.737709522247314,10.28894790013631,6.173368740081788,10.606807708740234,9.996222496032715,13.341111373901366,12.758900801340738,7.655340480804444,13.299564361572266,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,27,5,6,0.7527773205188781,0.8481256519979897,0.5088753911987939,0.5585650868243737,0.8804542063764706,11.52582960128784,11.150754451751709,6.690452671051026,12.289809226989746,11.023582458496094,14.336881828308107,13.810682932535807,8.286409759521485,15.776654243469238,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,28,5,6,0.6171627083938915,0.6046813910227862,0.36280883461367175,0.527557195815285,1.015981541986913,12.059301662445069,12.108399868011473,7.265039920806885,12.411786079406738,10.490453720092773,15.186521530151367,15.221095720926918,9.132657432556153,16.204620361328125,13.043609619140625,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,29,5,6,0.7891567900764664,0.8652303538343441,0.5191382123006065,0.5585650868243737,1.1416206909342248,11.3827223777771,11.083469072977701,6.650081443786622,12.289809226989746,9.996222496032715,14.241567802429199,13.846813201904297,8.30808792114258,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
